Fecha	BM
6-07-12	251611
10-07-12	252803
11-07-12	250507
12-07-12	252248
13-07-12	254507
16-07-12	255663
17-07-12	255945
18-07-12	257024
19-07-12	256297
20-07-12	254216
23-07-12	252210
24-07-12	250808
25-07-12	250747
26-07-12	252856
27-07-12	251750
30-07-12	249888
31-07-12	246461
1-08-12	253776
2-08-12	256441
3-08-12	257816
6-08-12	258501
7-08-12	257322
8-08-12	255759
9-08-12	256948
10-08-12	256041
13-08-12	257730
14-08-12	258284
15-08-12	259703
16-08-12	258710
17-08-12	254346
21-08-12	256697
22-08-12	259480
23-08-12	260602
24-08-12	260950
27-08-12	259606
28-08-12	260975
29-08-12	257940
30-08-12	260352
31-08-12	260757
3-09-12	263313
4-09-12	263168
5-09-12	262777
6-09-12	262918
7-09-12	261080
10-09-12	261156
11-09-12	261405
12-09-12	262748
13-09-12	263168
14-09-12	263128
17-09-12	262214
18-09-12	261501
19-09-12	261283
20-09-12	261059
21-09-12	257485
25-09-12	259088
26-09-12	258915
27-09-12	264362
28-09-12	265189
1-10-12	269906
2-10-12	269365
3-10-12	269069
4-10-12	268131
5-10-12	267785
9-10-12	265049
10-10-12	263172
11-10-12	263383
12-10-12	263697
15-10-12	265352
16-10-12	264999
17-10-12	266089
18-10-12	266041
19-10-12	266060
22-10-12	262226
23-10-12	259802
24-10-12	262370
25-10-12	264965
26-10-12	262998
29-10-12	264328
30-10-12	262866
31-10-12	265116
1-11-12	274720
2-11-12	273947
5-11-12	274126
7-11-12	273057
8-11-12	272008
9-11-12	273291
12-11-12	270115
13-11-12	269249
14-11-12	271115
15-11-12	274068
16-11-12	272403
19-11-12	272285
20-11-12	269428
21-11-12	272556
22-11-12	275548
23-11-12	270969
27-11-12	269815
28-11-12	267864
29-11-12	267299
30-11-12	268659
3-12-12	288372
4-12-12	288737
5-12-12	289559
6-12-12	289225
7-12-12	291370
10-12-12	288881
11-12-12	282983
12-12-12	284572
13-12-12	292164
14-12-12	292063
17-12-12	288264
18-12-12	288889
19-12-12	300774
20-12-12	290587
21-12-12	291530
26-12-12	300752
27-12-12	304317
28-12-12	308524
31-12-12	307352
2-01-13	305407
3-01-13	305685
4-01-13	302572
7-01-13	301269
8-01-13	301215
9-01-13	298528
10-01-13	300103
11-01-13	301781
14-01-13	300562
15-01-13	301854
16-01-13	299502
17-01-13	298855
18-01-13	297834
21-01-13	298979
22-01-13	299273
23-01-13	294252
24-01-13	293916
25-01-13	292640
28-01-13	290421
29-01-13	289981
30-01-13	287546
1-02-13	289527
4-02-13	288820
5-02-13	288350
6-02-13	288756
7-02-13	289170
8-02-13	291376
13-02-13	296321
14-02-13	297929
15-02-13	300185
18-02-13	295588
19-02-13	292586
21-02-13	292666
22-02-13	291707
25-02-13	291094
26-02-13	290962
27-02-13	289812
28-02-13	291151
1-03-13	300266
4-03-13	300562
5-03-13	300361
6-03-13	298337
7-03-13	298108
8-03-13	298457
11-03-13	298069
12-03-13	297738
13-03-13	296379
14-03-13	296918
15-03-13	294513
18-03-13	293010
19-03-13	293387
20-03-13	293576
21-03-13	292825
22-03-13	293440
25-03-13	290024
26-03-13	291645
27-03-13	302214
3-04-13	306334
4-04-13	305591
5-04-13	303549
8-04-13	302725
9-04-13	302999
10-04-13	302577
11-04-13	302284
12-04-13	304360
15-04-13	302862
16-04-13	302237
17-04-13	299197
18-04-13	299916
19-04-13	295335
22-04-13	292865
23-04-13	291365
24-04-13	288016
25-04-13	289446
26-04-13	286824
29-04-13	279360
30-04-13	287319
2-05-13	295803
3-05-13	296781
6-05-13	296660
7-05-13	296085
8-05-13	300153
9-05-13	300130
10-05-13	298485
13-05-13	300728
14-05-13	301816
15-05-13	302869
16-05-13	303372
17-05-13	303191
20-05-13	302678
21-05-13	303457
22-05-13	304875
23-05-13	305675
24-05-13	303575
27-05-13	301854
28-05-13	301129
29-05-13	298207
30-05-13	301836
31-05-13	304336
3-06-13	309305
4-06-13	308607
5-06-13	309214
6-06-13	312931
7-06-13	314000
10-06-13	313741
11-06-13	313271
12-06-13	315301
13-06-13	315824
14-06-13	313554
17-06-13	311172
18-06-13	310797
19-06-13	311680
24-06-13	309952
25-06-13	310665
26-06-13	308415
27-06-13	308513
28-06-13	307549
1-07-13	314997
2-07-13	321381
3-07-13	323229
4-07-13	323827
5-07-13	325256
8-07-13	324719
10-07-13	326998
11-07-13	326162
12-07-13	327229
15-07-13	327673
16-07-13	324791
17-07-13	326024
18-07-13	324739
19-07-13	321841
22-07-13	321781
23-07-13	317336
24-07-13	319286
25-07-13	325446
26-07-13	325733
29-07-13	321473
30-07-13	318631
31-07-13	318128
1-08-13	329333
2-08-13	329302
5-08-13	328744
6-08-13	329995
7-08-13	330146
8-08-13	331273
9-08-13	329633
12-08-13	329560
13-08-13	330238
14-08-13	324785
15-08-13	325706
16-08-13	322687
20-08-13	328996
21-08-13	329911
22-08-13	327248
23-08-13	323202
26-08-13	324674
27-08-13	324126
28-08-13	321396
29-08-13	323616
30-08-13	321192
2-09-13	329808
3-09-13	331305
4-09-13	331374
5-09-13	333991
6-09-13	334005
9-09-13	332801
10-09-13	336503
11-09-13	334120
12-09-13	333572
13-09-13	332781
16-09-13	331705
17-09-13	332182
18-09-13	330629
19-09-13	329474
